period,interest,riskGroup,gyraMaisFee,bankFee,partnerFee,type
21,0.0249,4,0.0405,0.0095,0.02,"00213648000146,"
22,0.0249,4,0.0405,0.0095,0.02,"00213648000146,"
23,0.0249,4,0.0405,0.0095,0.02,"00213648000146,"
24,0.0249,4,0.0405,0.0095,0.02,"00213648000146,"
1,0.0199,5,0.0405,0.0095,0.02,"00213648000146,"
2,0.0199,5,0.0405,0.0095,0.02,"00213648000146,"
3,0.0199,5,0.0405,0.0095,0.02,"00213648000146,"
4,0.0199,5,0.0405,0.0095,0.02,"00213648000146,"
5,0.0199,5,0.0405,0.0095,0.02,"00213648000146,"
6,0.0199,5,0.0405,0.0095,0.02,"00213648000146,"
7,0.0199,5,0.0405,0.0095,0.02,"00213648000146,"
8,0.0199,5,0.0405,0.0095,0.02,"00213648000146,"
9,0.0199,5,0.0405,0.0095,0.02,"00213648000146,"
10,0.0199,5,0.0405,0.0095,0.02,"00213648000146,"
11,0.0199,5,0.0405,0.0095,0.02,"00213648000146,"
12,0.0199,5,0.0405,0.0095,0.02,"00213648000146,"
13,0.0249,5,0.0405,0.0095,0.02,"00213648000146,"
14,0.0249,5,0.0405,0.0095,0.02,"00213648000146,"
15,0.0249,5,0.0405,0.0095,0.02,"00213648000146,"
16,0.0249,5,0.0405,0.0095,0.02,"00213648000146,"
17,0.0249,5,0.0405,0.0095,0.02,"00213648000146,"
18,0.0249,5,0.0405,0.0095,0.02,"00213648000146,"
19,0.0249,5,0.0405,0.0095,0.02,"00213648000146,"
20,0.0249,5,0.0405,0.0095,0.02,"00213648000146,"
21,0.0249,5,0.0405,0.0095,0.02,"00213648000146,"
22,0.0249,5,0.0405,0.0095,0.02,"00213648000146,"
23,0.0249,5,0.0405,0.0095,0.02,"00213648000146,"
24,0.0249,5,0.0405,0.0095,0.02,"00213648000146,"
1,0.0549,0,0.0405,0.0095,0.02,"17503933000102,"
2,0.0549,0,0.0405,0.0095,0.02,"17503933000102,"
3,0.0549,0,0.0405,0.0095,0.02,"17503933000102,"
4,0.0549,0,0.0405,0.0095,0.02,"17503933000102,"
5,0.0549,0,0.0405,0.0095,0.02,"17503933000102,"
6,0.0549,0,0.0405,0.0095,0.02,"17503933000102,"
7,0.0549,0,0.0405,0.0095,0.02,"17503933000102,"
8,0.0549,0,0.0405,0.0095,0.02,"17503933000102,"
9,0.0549,0,0.0405,0.0095,0.02,"17503933000102,"
10,0.0549,0,0.0405,0.0095,0.02,"17503933000102,"
11,0.0549,0,0.0405,0.0095,0.02,"17503933000102,"
12,0.0549,0,0.0405,0.0095,0.02,"17503933000102,"
13,0.0599,0,0.0405,0.0095,0.02,"17503933000102,"
